,CrimeType,DateTime,CaseNumber,Description,PoliceBeat,Address,City,State,Lat,Long,Zip
0,MOTOR VEHICLE THEFT,2104-08-08 00:00:00,14-040258,VEHICLE THEFT - AUTO,02X,12TH ST & MANDELA PKWY,Oakland,CA,37.80908470000001,-122.2919421,94607
1,ROBBERY,2030-01-11 19:00:00,14-023460,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",23X,3600 BLK OF INTERNATIONAL BL,Oakland,CA,37.7758827,-122.2218341,94601
2,VANDALISM,2040-02-01 21:40:00,14-035766,"VANDALISM [UNDER $1,000] (AMENDED)",09X,600 FAIRMOUNT AV,Oakland,CA,37.8220053,-122.2539378,94611
3,THEFT/LARCENY,2050-01-03 13:55:00,14-038177,BURGLARY-AUTO,08X,TELEGRAPH AV & W MACARTHUR BLVD,Oakland,CA,37.8263547,-122.2652151,94609
4,FRAUD,2018-02-07 22:15:00,18-902981,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,13Z,00 VISTA DEL MAR CT,Oakland,CA,37.8379578,-122.2055437,94611
5,BURGLARY,2034-01-01 10:00:00,14-047941,BURGLARY-FORCIBLE ENTRY,31Z,11100 ACALANES DR,Oakland,CA,37.7288609,-122.1728533,94603
6,ASSAULT,2019-01-07 18:27:00,14-054853,SC BATTERY,34X,1400 89TH AV,Oakland,CA,37.7503729,-122.1748387,94621
7,VANDALISM,2030-01-08 18:30:00,14-027546,VANDALISM,30X,2500 HAVENSCOURT BLVD,Oakland,CA,37.7666867,-122.1855803,94605
8,VANDALISM,2040-01-01 00:00:00,14-031456,"VANDALISM [UNDER $1,000] (AMENDED)",20X,2600 E 12TH ST,Oakland,CA,37.78014450000001,-122.2323411,94601
9,MOTOR VEHICLE THEFT,2914-07-02 19:00:00,14-033621,VEHICLE THEFT - AUTO,31Y,300 HUNTER AVE,Oakland,CA,37.7318182,-122.1834875,94603
10,SEX CRIMES,2020-01-07 17:00:00,14-018939,SUPV/ETC PROSTITUTION,19X,1700 EMBARCADERO,Oakland,CA,37.7836298,-122.2431482,94606
11,THEFT/LARCENY,2019-04-14 11:00:00,14-019401,BURGLARY-AUTO,12X,300 ORANGE ST,Oakland,CA,37.8159334,-122.2567724,94610
12,THEFT/LARCENY,2018-01-17 13:05:00,18-006602,GRAND THEFT:MONEY/LABOR/PROPERTY  OVER $400,03Y,400 7TH ST,Oakland,CA,37.7990493,-122.2729885,94607
13,DUI,2018-01-17 14:00:00,18-006608,DUI ALCOHOL/DRUGS,03Y,400 7TH ST,Oakland,CA,37.7990493,-122.2729885,94607
14,DUI,2018-01-18 13:00:00,18-006657,DUI ALCOHOL/DRUGS,03Y,400 7TH ST,Oakland,CA,37.7990493,-122.2729885,94607
15,ASSAULT,2018-01-18 13:10:00,18-006663,MISD-INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT/DATNG RELATNSHP,03Y,400 7TH ST,Oakland,CA,37.7990493,-122.2729885,94607
16,DUI,2018-01-18 13:20:00,18-006666,DUI ALCOHOL/DRUGS,03Y,400 7TH ST,Oakland,CA,37.7990493,-122.2729885,94607
17,THEFT/LARCENY,2018-01-05 15:20:00,18-900980,THEFT,12Y,6300 HILLEGASS AV,Oakland,CA,37.8500518,-122.2546033,94618
18,THEFT/LARCENY,2018-01-17 09:00:00,18-901684,BURGLARY-AUTO,22X,3500 FRUITVALE AV,Oakland,CA,37.8002191,-122.2159381,94602
19,THEFT/LARCENY,2018-01-16 07:15:00,18-901685,BURGLARY-AUTO,10X,1000 STANFORD AV,Oakland,CA,37.84297129999999,-122.2784323,94608
20,VANDALISM,2018-01-05 13:00:00,18-900985,VANDALISM,13Y,6600 SKYLINE BLVD,Oakland,CA,37.8492526,-122.202926,94611
21,THEFT/LARCENY,2018-01-19 17:30:00,18-901688,THEFT,12Y,6200 CLAREMONT AV,Oakland,CA,37.8494976,-122.2520285,94618
22,FRAUD,2018-01-19 14:04:00,18-901689,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,13Z,6000 ESTATES DR,Oakland,CA,37.83042200000001,-122.217649,94611
23,VANDALISM,2018-01-19 09:30:00,18-901690,VANDALISM,18Y,2300 21ST AV,Oakland,CA,37.7917509,-122.2326287,94606
24,THEFT/LARCENY,2018-01-18 20:25:00,18-901781,BURGLARY-AUTO,08X,500 23RD ST,Oakland,CA,37.8126097,-122.2688144,94612
25,THEFT/LARCENY,2018-01-18 21:00:00,18-901782,BURGLARY-AUTO,12X,4700 TELEGRAPH AV,Oakland,CA,37.834282,-122.262679,94609
26,THEFT/LARCENY,2018-01-05 19:05:00,18-901109,THEFT,12Y,6200 CLAREMONT AV,Oakland,CA,37.8494976,-122.2520285,94618
27,BURGLARY,2018-01-19 01:00:00,18-901699,BURGLARY-FORCIBLE ENTRY,13Y,700 GRIZZLY TERRACE DR,Oakland,CA,37.8602395,-122.2163646,94611
28,THEFT/LARCENY,2018-01-05 09:00:00,18-901110,BURGLARY-AUTO,08X,2400 NORTHGATE AV,Oakland,CA,37.813801,-122.2704773,94612
29,THEFT/LARCENY,2018-01-19 15:30:00,18-901700,BURGLARY-AUTO,03Y,400 8TH ST,Oakland,CA,37.7997317,-122.2725336,94607
30,THEFT/LARCENY,2018-01-16 18:00:00,18-901790,BURGLARY-AUTO,12X,4700 TELEGRAPH AV,Oakland,CA,37.834282,-122.262679,94609
31,VANDALISM,2018-01-17 16:00:00,18-901791,VANDALISM,15X,200 WAYNE AV,Oakland,CA,37.8012035,-122.252283,94606
32,VANDALISM,2018-01-05 16:30:00,18-900987,VANDALISM,13Z,9200 SKYLINE BLVD,Oakland,CA,37.8249669,-122.1867664,94611
33,FRAUD,2018-01-16 11:38:00,18-901795,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,29X,3900 DELMONT AV,Oakland,CA,37.7762591,-122.1707135,94605
34,THEFT/LARCENY,2018-01-14 03:30:00,18-901692,GRAND THEFT,20X,400 DERBY AV,Oakland,CA,37.7715678,-122.2315944,94601
35,VANDALISM,2018-01-05 12:00:00,18-901036,VANDALISM,13Z,8100 SKYLINE BLVD,Oakland,CA,37.8368442,-122.1865146,94611
36,VANDALISM,2018-01-05 13:07:00,18-901039,VANDALISM,03X,00 10TH ST,Oakland,CA,37.7964495,-122.2598465,94607
37,VANDALISM,2018-01-15 20:47:00,18-901695,VANDALISM,22X,3900 HANLY RD,Oakland,CA,37.8071325,-122.2141772,94602
38,THEFT/LARCENY,2018-01-05 07:30:00,18-901041,THEFT,17Y,2100 7TH AVE,Oakland,CA,37.7988209,-122.2454256,94606
39,VANDALISM,2018-01-05 06:20:00,18-901058,VANDALISM,31Y,8300 EDES AV,Oakland,CA,37.7441243,-122.1952082,94621
40,VANDALISM,2018-01-17 20:20:00,18-901698,VANDALISM,03X,800 WEBSTER ST,Oakland,CA,37.7993315,-122.2711724,94607
41,VANDALISM,2018-01-05 02:00:00,18-901047,VANDALISM,13X,200 FLORENCE AV,Oakland,CA,37.8409714,-122.2305364,94618
42,VANDALISM,2018-01-05 01:00:00,18-901057,VANDALISM,13Z,9100 SKYLINE BLVD,Oakland,CA,37.8266855,-122.1875756,94611
43,THEFT/LARCENY,2018-01-17 19:15:00,18-901701,BURGLARY-AUTO,25X,4200 MACARTHUR BLVD,Oakland,CA,37.7884301,-122.1954016,94619
44,VANDALISM,2018-01-17 18:35:00,18-901702,VANDALISM,08X,2300 WEBSTER ST,Oakland,CA,37.8121116,-122.2650403,94612
45,VANDALISM,2018-01-05 00:00:00,18-901063,VANDALISM,13Z,9300 SKYLINE BLVD,Oakland,CA,37.8232967,-122.1868799,94611
46,FRAUD,2018-01-17 22:25:00,18-901704,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,16Y,4500 PARK BLVD,Oakland,CA,37.8086922,-122.218567,94602
47,BURGLARY,2018-01-08 06:00:00,18-901077,BURGLARY-FORCIBLE ENTRY,12X,400 40TH ST,Oakland,CA,37.8286058,-122.2599187,94609
48,THEFT/LARCENY,2018-01-09 17:25:00,18-901078,THEFT,30Y,8100 UTAH ST,Oakland,CA,37.7654429,-122.1610118,94605
49,THEFT/LARCENY,2018-01-17 19:35:00,18-901705,BURGLARY-AUTO,08X,300 40TH ST,Oakland,CA,37.8276249,-122.2567297,94609
50,THEFT/LARCENY,2018-01-17 11:30:00,18-901706,BURGLARY-AUTO,03X,400 11TH ST,Oakland,CA,37.8022475,-122.2724337,94607
51,THEFT/LARCENY,2018-01-12 19:00:00,18-901707,THEFT,14Y,800 ERIE ST,Oakland,CA,37.8124005,-122.2427073,94610
52,VANDALISM,2018-01-15 13:20:00,18-901708,VANDALISM,16Y,4000 WOODRUFF AV,Oakland,CA,37.8047614,-122.2215801,94602
53,THEFT/LARCENY,2018-01-06 12:20:00,18-901085,BURGLARY-AUTO,22X,3400 DIMOND AV,Oakland,CA,37.799565,-122.217444,94602
54,THEFT/LARCENY,2018-01-17 23:00:00,18-901709,BURGLARY-AUTO,04X,1800 WEBSTER ST,Oakland,CA,37.8064542,-122.2665566,94612
55,VANDALISM,2018-01-17 21:00:00,18-901710,VANDALISM,01X,200 BROADWAY,Oakland,CA,37.7961698,-122.275971,94607
56,VANDALISM,2018-01-06 14:25:00,18-901086,VANDALISM,26X,5400 COLISEUM WY,Oakland,CA,37.760414,-122.2095554,0
57,THEFT/LARCENY,2018-01-15 20:00:00,18-901712,BURGLARY-AUTO,14X,400 LAGUNITAS AV,Oakland,CA,37.8100113,-122.251231,94610
58,THEFT/LARCENY,2018-01-16 11:00:00,18-901713,BURGLARY-AUTO,01X,00 4TH ST,Oakland,CA,37.7928439,-122.2637614,94607
59,THEFT/LARCENY,2018-01-17 22:15:00,18-901715,GRAND THEFT,03X,300 13TH ST,Oakland,CA,37.8024486,-122.2680712,94612
60,VANDALISM,2018-01-18 18:30:00,18-901716,VANDALISM,04X,500 22ND ST,Oakland,CA,37.8110454,-122.2692028,94612
61,THEFT/LARCENY,2018-01-17 04:05:00,18-901717,GRAND THEFT,20X,400 DERBY AV,Oakland,CA,37.7715678,-122.2315944,94601
62,THEFT/LARCENY,2018-01-20 19:30:00,18-901241,GRAND THEFT,09X,4100 PIEDMONT AV,Oakland,CA,37.8267006,-122.2520391,94611
63,THEFT/LARCENY,2018-01-06 14:00:00,18-901087,BURGLARY-AUTO,15X,200 E 18TH ST,Oakland,CA,37.8004308,-122.2534467,94606
64,THEFT/LARCENY,2018-01-18 16:35:00,18-901719,BURGLARY-AUTO,30Y,6900 BANCROFT AV,Oakland,CA,37.7674936,-122.1795052,94605
65,THEFT/LARCENY,2018-01-16 11:20:00,18-901720,THEFT,32X,10100 INTERNATIONAL BLVD,Oakland,CA,37.7421113,-122.1688321,94603
66,VANDALISM,2018-01-17 21:30:00,18-901721,VANDALISM,12X,WEBSTER ST,Oakland,CA,37.8143424,-122.2649907,0
67,DISTURBING THE PEACE,2018-01-17 16:44:00,18-901723,ANNOYING TELEPHONE CALL:OBSCENE/THREATENING,20X,2900 INTERNATIONAL BLVD,Oakland,CA,37.7793154,-122.2287609,94601
68,THEFT/LARCENY,2018-01-17 18:30:00,18-901724,THEFT,30X,7800 LOCKWOOD ST,Oakland,CA,37.760556,-122.1785296,94621
69,VANDALISM,2018-01-18 00:00:00,18-901725,VANDALISM,04X,300 15TH ST,Oakland,CA,37.8039087,-122.2670006,94612
70,THEFT/LARCENY,2018-01-18 11:18:00,18-901729,BURGLARY-AUTO,32X,10900 INTERNATIONAL BLVD,Oakland,CA,37.7371242,-122.1641183,94603
71,THEFT/LARCENY,2018-01-14 11:30:00,18-901730,BURGLARY-AUTO,31Y,00 CARY CT,Oakland,CA,37.7353353,-122.1836945,94603
72,THEFT/LARCENY,2018-01-18 11:00:00,18-901732,BURGLARY-AUTO,29X,6400 FOOTHILL BLVD,Oakland,CA,37.7709647,-122.1839618,94605
73,THEFT/LARCENY,2018-01-17 18:45:00,18-901736,BURGLARY-AUTO,03X,7TH ST & WEBSTER ST,Oakland,CA,37.7985795,-122.2717904,94607
74,THEFT/LARCENY,2018-01-17 16:40:00,18-901738,BURGLARY-AUTO,25X,3500 MACARTHUR BLVD,Oakland,CA,37.7937465,-122.2003569,94619
75,THEFT/LARCENY,2018-01-06 14:30:00,18-901088,BURGLARY-AUTO,14X,700 GRAND AV,Oakland,CA,37.8109048,-122.2458688,94610
76,BURGLARY,2018-01-05 14:39:00,18-901089,BURGLARY-FORCIBLE ENTRY,14X,200 EUCLID AV,Oakland,CA,37.8156836,-122.2536016,94610
77,THEFT/LARCENY,2018-01-06 08:00:00,18-901092,THEFT,14X,200 VERNON ST,Oakland,CA,37.81363839999999,-122.2588416,94610
78,THEFT/LARCENY,2018-01-05 14:45:00,18-901099,BURGLARY-AUTO,08X,25TH ST & NORTHGATE AV,Oakland,CA,37.8146654,-122.2702929,94612
79,VANDALISM,2018-01-06 03:00:00,18-901102,VANDALISM,26Y,800 70TH AV,Oakland,CA,37.7551337,-122.1975655,94621
80,THEFT/LARCENY,2018-01-05 13:00:00,18-901094,BURGLARY-AUTO,14X,500 GRAND AV,Oakland,CA,37.808883,-122.251346,94610
81,THEFT/LARCENY,2018-01-06 00:50:00,18-901103,THEFT,35Y,4100 SEACOR CT,Oakland,CA,37.7692541,-122.1536558,94605
82,THEFT/LARCENY,2018-01-20 12:25:00,18-901242,BURGLARY-AUTO,01X,300 WASHINGTON ST,Oakland,CA,37.79702169999999,-122.2768348,94607
83,VANDALISM,2018-01-06 00:35:00,18-901104,VANDALISM,13X,6000 MONROE AV,Oakland,CA,37.8414061,-122.2476974,94618
84,THEFT/LARCENY,2018-01-17 19:00:00,18-901740,GRAND THEFT,03Y,600 12TH ST,Oakland,CA,37.8147679,-122.3084173,0
