,CrimeType,DateTime,CaseNumber,Description,PoliceBeat,Address,City,State,Lat,Long,Zip,ind_poverty_pct,ind_poverty_moe,family_poverty_pct,family_poverty_moe
0,MOTOR VEHICLE THEFT,2104-08-08 00:00:00,14-040258,VEHICLE THEFT - AUTO,02X,12TH ST & MANDELA PKWY,Oakland,CA,37.80908470000001,-122.2919421,94607,29.9,2.8,27.7,3.3
1,THEFT/LARCENY,2018-01-17 13:05:00,18-006602,GRAND THEFT:MONEY/LABOR/PROPERTY  OVER $400,03Y,400 7TH ST,Oakland,CA,37.7990493,-122.2729885,94607,29.9,2.8,27.7,3.3
2,ASSAULT,2018-03-15 16:10:00,18-013433,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,02Y,700 PERALTA ST,Oakland,CA,37.8064587,-122.2975547,94607,29.9,2.8,27.7,3.3
3,DUI,2018-01-17 14:00:00,18-006608,DUI ALCOHOL/DRUGS,03Y,400 7TH ST,Oakland,CA,37.7990493,-122.2729885,94607,29.9,2.8,27.7,3.3
4,ASSAULT,2018-03-15 19:25:00,18-013466,BATTERY,03X,800 FRANKLIN ST,Oakland,CA,37.7997892,-122.2723326,94607,29.9,2.8,27.7,3.3
5,DUI,2018-01-18 13:00:00,18-006657,DUI ALCOHOL/DRUGS,03Y,400 7TH ST,Oakland,CA,37.7990493,-122.2729885,94607,29.9,2.8,27.7,3.3
6,ASSAULT,2018-03-04 18:15:00,18-013426,BATTERY,02Y,1800 9TH ST,Oakland,CA,37.8102432,-122.302087,94607,29.9,2.8,27.7,3.3
7,ASSAULT,2018-01-18 13:10:00,18-006663,MISD-INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT/DATNG RELATNSHP,03Y,400 7TH ST,Oakland,CA,37.7990493,-122.2729885,94607,29.9,2.8,27.7,3.3
8,THEFT/LARCENY,2018-01-19 15:30:00,18-901700,BURGLARY-AUTO,03Y,400 8TH ST,Oakland,CA,37.7997317,-122.2725336,94607,29.9,2.8,27.7,3.3
9,VANDALISM,2018-03-02 10:40:00,18-903606,VANDALISM,01X,400 HARRISON ST,Oakland,CA,37.7958755,-122.2717023,94607,29.9,2.8,27.7,3.3
10,VANDALISM,2018-01-05 13:07:00,18-901039,VANDALISM,03X,00 10TH ST,Oakland,CA,37.7964495,-122.2598465,94607,29.9,2.8,27.7,3.3
11,VANDALISM,2018-01-17 20:20:00,18-901698,VANDALISM,03X,800 WEBSTER ST,Oakland,CA,37.7993315,-122.2711724,94607,29.9,2.8,27.7,3.3
12,THEFT/LARCENY,2018-01-17 11:30:00,18-901706,BURGLARY-AUTO,03X,400 11TH ST,Oakland,CA,37.8022475,-122.2724337,94607,29.9,2.8,27.7,3.3
13,VANDALISM,2018-01-17 21:00:00,18-901710,VANDALISM,01X,200 BROADWAY,Oakland,CA,37.7961698,-122.275971,94607,29.9,2.8,27.7,3.3
14,THEFT/LARCENY,2018-02-24 20:50:00,18-903613,BURGLARY-AUTO,03X,400 8TH ST,Oakland,CA,37.7997317,-122.2725336,94607,29.9,2.8,27.7,3.3
15,THEFT/LARCENY,2018-01-16 11:00:00,18-901713,BURGLARY-AUTO,01X,00 4TH ST,Oakland,CA,37.7928439,-122.2637614,94607,29.9,2.8,27.7,3.3
16,THEFT/LARCENY,2018-01-17 18:45:00,18-901736,BURGLARY-AUTO,03X,7TH ST & WEBSTER ST,Oakland,CA,37.7985795,-122.2717904,94607,29.9,2.8,27.7,3.3
17,THEFT/LARCENY,2018-01-20 12:25:00,18-901242,BURGLARY-AUTO,01X,300 WASHINGTON ST,Oakland,CA,37.79702169999999,-122.2768348,94607,29.9,2.8,27.7,3.3
18,THEFT/LARCENY,2018-01-20 16:02:00,18-901603,THEFT,02Y,300 HENRY ST,Oakland,CA,37.8031433,-122.2980124,94607,29.9,2.8,27.7,3.3
19,THEFT/LARCENY,2018-02-28 13:15:00,18-012344,GRAND THEFT,03X,7TH ST & FRANKLIN ST,Oakland,CA,37.7990448,-122.2729768,94607,29.9,2.8,27.7,3.3
20,THEFT/LARCENY,2018-03-01 00:00:00,18-012352,BURGLARY-AUTO,05X,16TH ST & MANDELA PKWY,Oakland,CA,37.8123241,-122.2911761,94607,29.9,2.8,27.7,3.3
21,ASSAULT,2018-03-10 13:11:00,18-012488,THREAT CRIME:INT:TERRORIZE,03Y,900 BROADWAY,Oakland,CA,37.8008883,-122.2732894,94607,29.9,2.8,27.7,3.3
22,BURGLARY,2018-03-10 13:15:00,18-012524,BURGLARY-NO FORCE,02X,1100 8TH ST,Oakland,CA,37.8046531,-122.2869567,94607,29.9,2.8,27.7,3.3
23,THEFT/LARCENY,2018-02-27 19:00:00,18-012527,THEFT,02X,8TH ST & ADELINE ST,Oakland,CA,37.8048507,-122.2878486,94607,29.9,2.8,27.7,3.3
24,VANDALISM,2018-03-10 12:00:00,18-012533,VANDALISM,02Y,1600 7TH ST,Oakland,CA,37.8062846,-122.2982197,94607,29.9,2.8,27.7,3.3
25,MOTOR VEHICLE THEFT,2018-03-09 10:30:00,18-012373,ATTEMPT VEHICLE THEFT-AUTO,01X,200 2ND ST,Oakland,CA,37.794118,-122.270692,94607,29.9,2.8,27.7,3.3
26,ASSAULT,2018-03-10 02:30:00,18-012430,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,05X,1500 ADELINE ST,Oakland,CA,37.810239,-122.285383,94607,29.9,2.8,27.7,3.3
27,THEFT/LARCENY,2018-03-10 07:43:00,18-012441,THEFT,03Y,400 7TH ST,Oakland,CA,37.7990493,-122.2729885,94607,29.9,2.8,27.7,3.3
28,THEFT/LARCENY,2018-03-10 00:00:00,18-012476,THEFT,03Y,400 7TH ST,Oakland,CA,37.7990493,-122.2729885,94607,29.9,2.8,27.7,3.3
29,FRAUD,2017-12-28 13:00:00,18-003010,FRAUD TO OBTAIN AID,03Y,400 7TH ST,Oakland,CA,37.7990493,-122.2729885,94607,29.9,2.8,27.7,3.3
