,Address,Lat,Long,Zipcode
0,"1400 HARRISON ST, Oakland, CA",37.8029381,-122.2675967,94612
1,"1900 JACKSON ST, Oakland, CA",37.8054589,-122.2630868,94612
2,"10800 ELVESSA ST, Oakland, CA",37.7522688,-122.129517,94605
3,"400 HADDON RD, Oakland, CA",37.8025013,-122.2473791,94606
4,"AVENAL AVE, Oakland, CA",37.7679812,-122.1896229,94605
5,"18TH ST, Oakland, CA",37.8118548,-122.2829923,94607
6,"3600 WEST ST, Oakland, CA",37.8256609,-122.271812,94608
7,"3800 HIGH ST, Oakland, CA",37.7890753,-122.1909012,94619
8,"1600 34TH ST, Oakland, CA",37.8250063,-122.2885112,94608
9,"7400 HALLIDAY AV, Oakland, CA",37.764809,-122.1769332,94605
10,"73RD AV & HALLIDAY AV, Oakland, CA",37.7652718,-122.177643,94605
11,"400 MARKET ST, Oakland, CA",37.8007048,-122.2830666,94607
12,"2900 RAWSON ST, Oakland, CA",37.7788607,-122.1944483,94619
13,"1800BLK SAN PABLO AVE, Oakland, CA",,,
14,"6000 SHATTUCK AVE, Oakland, CA",37.8458816,-122.2652533,94609
15,"1600 103RD AV, Oakland, CA",37.7413636,-122.166159,94603
16,"8600 G ST, Oakland, CA",37.7484415,-122.1849459,94621
17,"66T H AV&FENHAM ST, Oakland, CA",37.761596,-122.1934956,94621
18,"2200 24TH AV, Oakland, CA",37.78824530000001,-122.2288681,94601
19,"2400 E 16TH ST, Oakland, CA",37.7841763,-122.2328762,94601
20,"FOOTHILL (DIST 4, NFD), Oakland, CA",,,
21,"7100 SNELL ST, Oakland, CA",37.7546527,-122.1973147,94621
22,"00 HEGENBERGER RD, Oakland, CA",37.7267152,-122.2012741,94621
23,"SUTER ST, Oakland, CA",37.7912741,-122.2047638,94619
24,"1000BLK LINDEN ST, Oakland, CA",,,
25,"600 S ELMHURST AV, Oakland, CA",37.7373907,-122.1867276,94603
26,"2800 INTERNATIONAL BLVD, Oakland, CA",37.7799697,-122.229697,94601
27,"1500 BROADWAY, Oakland, CA",37.8055388,-122.270001,94612
28,"4200 KELLER AV, Oakland, CA",37.7723464,-122.1541487,94605
29,"800 20TH ST, Oakland, CA",37.8115446,-122.2770364,94607
30,"FITZGERALD ST & PERALTA ST, Oakland, CA",37.8263661,-122.2819464,94608
31,"4200 REDDING ST, Oakland, CA",37.7880363,-122.1965093,94619
32,"800 26TH ST, Oakland, CA",37.8167944,-122.2743818,94612
33,"4100 REDDING ST, Oakland, CA",37.7893207,-122.1976266,94619
34,"2600 23RD AV, Oakland, CA",37.7922322,-122.2273848,94606
35,"3800 ENOS AV, Oakland, CA",37.786754,-122.1872652,94619
36,"1100 77TH AV, Oakland, CA",37.7547814,-122.1879969,94621
37,"1100 71ST AV, Oakland, CA",37.75793549999999,-122.1918431,94621
38,"2900 HIGH ST, Oakland, CA",37.7835976,-122.2014093,94619
39,"800 HIGH ST, Oakland, CA",37.7692657,-122.2189418,94601
40,"1700 27TH AV, Oakland, CA",37.7831892,-122.2289877,94601
41,"700 LOUISIANA ST, Oakland, CA",37.7400476,-122.1861734,94603
42,"4200 FOOTHILL BOULEVARD, Oakland, CA",37.775912,-122.2128479,94601
43,"1400 MADISON ST, Oakland, CA",37.8015431,-122.2640496,94612
44,"GRAND AVE./ MACARTHUR BLVD., Oakland, CA",37.8124911,-122.2470815,94602
45,"2800 FRUITVALE AV, Oakland, CA",37.7919108,-122.219504,94601
46,"7TH ST & FALLON ST, Oakland, CA",37.79588469999999,-122.2646423,94607
47,"600 TRESTLE GLEN RD, Oakland, CA",37.8110204,-122.2432548,94610
48,"3600 39TH AV, Oakland, CA",37.7896234,-122.1968571,94619
49,"10100 STANLEY AV, Oakland, CA",37.7473963,-122.1507607,94605
50,"1400 105TH AV, Oakland, CA",37.7392625,-122.1667318,94603
51,"1200 40TH AV, Oakland, CA",37.7728202,-122.2186545,94601
52,"3400 RICHMOND BLVD, Oakland, CA",37.8202438,-122.2579667,94611
53,"3700 GRAND AV, Oakland, CA",37.8163575,-122.2451688,94610
54,"700 KEVIN CT, Oakland, CA",37.7576486,-122.2069733,94621
55,"6100 HILLEGASS AV, Oakland, CA",37.8481807,-122.2540102,94618
56,"3400 38TH AV, Oakland, CA",37.7890965,-122.2008288,94619
57,"1400 2ND AV, Oakland, CA",37.7979598,-122.256316,94606
58,"2700 78TH AV, Oakland, CA",37.7654472,-122.1706239,94605
59,"1700 46TH AV, Oakland, CA",37.7729139,-122.2100994,94601
60,"5900 LAIRD AV, Oakland, CA",37.777953,-122.181279,94605
61,"5900 BALBOA DR, Oakland, CA",37.8310163,-122.2013164,94611
62,"3700 WISCONSIN ST, Oakland, CA",37.7953566,-122.194085,94619
63,"27TH AV & INTERNATIONAL BLVD, Oakland, CA",37.780715,-122.2315207,94601
64,"1400 MARKET ST, Oakland, CA",37.8082249,-122.2807771,94607
65,"4300 39TH AV, Oakland, CA",37.7961748,-122.1875821,94619
66,"2100 51ST AV, Oakland, CA",37.7737293,-122.2040029,94601
67,"3900 SAN LEANDRO ST, Oakland, CA",37.7722725,-122.2205891,94601
68,"4200 PIEDMONT AVE, Oakland, CA",37.8275529,-122.2507269,94611
69,"3600 SUTER ST, Oakland, CA",37.7907422,-122.2034044,94619
70,"35TH AV & QUIGLEY ST, Oakland, CA",37.7927647,-122.2024753,94619
71,"9800 EDES AV, Oakland, CA",37.7364017,-122.1831416,94603
72,"3200 FILBERT ST, Oakland, CA",37.8230439,-122.2778287,94608
73,"8700 A ST, Oakland, CA",37.7509765,-122.1777988,94621
74,"1700 13TH AV, Oakland, CA",37.7918673,-122.2444193,94606
75,"7700 HOLLY ST, Oakland, CA",37.7603005,-122.1803477,94621
76,"1800 10TH AVE, Oakland, CA",37.7947278,-122.2459837,94606
77,"1700 HIGH ST, Oakland, CA",37.7741311,-122.2125019,94601
78,"3100 BIRSDALL, Oakland, CA",37.7791124,-122.191788,94619
79,"200 FLORENCE AV, Oakland, CA",37.8409714,-122.2305364,94618
80,"4700 VIRGINIA AV, Oakland, CA",37.7816449,-122.1964436,94619
81,"800 45TH ST, Oakland, CA",37.8340159,-122.2700734,94608
82,"1000 CLAY ST, Oakland, CA",37.8025109,-122.2753349,94607
83,"MEDAU PLACE, Oakland, CA",37.8273278,-122.2100392,94611
84,"6400 BUENA VENTURA AV, Oakland, CA",37.7768916,-122.1763114,94605
85,"600 E 18TH ST, Oakland, CA",37.79765099999999,-122.2493003,94606
86,"2300 38TH AV, Oakland, CA",37.783201,-122.210409,94601
87,"900 BAYVIEW AV, Oakland, CA",37.8015128,-122.2380568,94610
88,"3100 98TH AV, Oakland, CA",37.7527027,-122.1533738,94605
89,"800 HARRISON ST, Oakland, CA",37.7989478,-122.2697639,94607
90,"9800 BURR ST, Oakland, CA",37.751767,-122.1564428,94605
91,"6800 MACARTHUR BLVD, Oakland, CA",37.7713305,-122.1760906,94605
92,"4700 OAKPORT ST, Oakland, CA",37.7650329,-122.2183635,94601
93,"1900 5TH AV, Oakland, CA",37.799057,-122.2491866,94606
94,"MARKET ST & SAN PABLO AV, Oakland, CA",37.8206397,-122.2764604,94608
95,"500 17TH ST, Oakland, CA",37.8068334,-122.2702766,94612
96,"5400 BROOKDALE AV, Oakland, CA",37.7751306,-122.1960445,94619
97,"1200 37TH AV, Oakland, CA",37.7741815,-122.2216609,94601
98,"3800 MACARTHUR BLVD, Oakland, CA",37.7917849,-122.1988363,94619
99,"800 77TH AV, Oakland, CA",37.7512714,-122.1932734,94621
100,"1500 POPLAR ST, Oakland, CA",37.811438,-122.2888632,94607
101,"9800 PLYMOUTH ST, Oakland, CA",37.7459069,-122.1672278,94603
102,"1000 E 17TH ST, Oakland, CA",37.7939816,-122.2468357,94606
103,"6500 EASTLAWN ST, Oakland, CA",37.7610013,-122.1972343,94621
104,"9800 MACARTHUR BLVD, Oakland, CA",37.749632,-122.158304,94605
105,"E 10 ST, Oakland, CA",37.7791234,-122.2362629,94601
106,"1400 WOOD ST, Oakland, CA",37.8133069,-122.2977927,94607
107,"2500 84TH AVE MACARTHUR BOUL, Oakland, CA",37.78268449999999,-122.1878385,94613
108,"100 WEBSTER ST, Oakland, CA",37.7945568,-122.2739401,94607
109,"2200 CAMPBELL ST, Oakland, CA",37.81750299999999,-122.2908657,94607
110,"1300 89TH AV, Oakland, CA",37.7496821,-122.1768164,94621
111,"2200 DURANT AV, Oakland, CA",37.7380546,-122.1587375,94603
112,"SKYLINE DR, Oakland, CA",37.7984936,-122.1660684,94619
113,"500 MARKET ST, Oakland, CA",37.8013729,-122.2832571,94607
114,"1300 20TH AV, Oakland, CA",37.785589,-122.2399653,94606
115,"7000 E MACARTHUR BLVD BOULEV, Oakland, CA",,,
116,"5400 HOLLAND ST, Oakland, CA",37.7690168,-122.2046761,94601
